date,McTavish,Bellevue,Assomption,Trudeau,StHubert
2014-09-27,0,0,0,0,0
2014-09-28,0,0,0,0,0
2014-09-29,0,0,0,0,0
2014-09-30,0,0,0,0,0
2014-10-01,0,3,0,3,0
2014-10-02,0,0,0,0,0
2014-10-03,0,0,0,0,0
2014-10-04,36,36,40,45,32
2014-10-05,2,0,0,0,2
2014-10-06,0,0,0,0,0
2014-10-07,20,77,40,10,15
2014-10-08,118,56,79,45,68
2014-10-09,6,0,10,3,10
2014-10-10,0,0,0,2,0
2014-10-11,0,0,0,0,0
2014-10-12,0,0,0,0,0
2014-10-13,0,0,0,0,0
2014-10-14,0,0,10,0,0
2014-10-15,18,11,30,26,15
2014-10-16,22,58,50,14,12
2014-10-17,2,0,1,0,0
2014-10-18,10,6,20,8,12
2014-10-19,4,0,0,0,0
2014-10-20,4,0,0,4,2
2014-10-21,6,6,0,6,5
2014-10-22,0,0,0,0,0
2014-10-23,26,18,20,23,22
2014-10-24,4,2,0,5,2
2014-10-25,28,12,30,15,20
2014-10-26,2,0,0,4,0
2014-10-27,0,0,0,0,0
2014-10-28,14,10,30,13,8
2014-10-29,8,7,10,7,5
2014-10-30,0,0,0,1,0
2014-10-31,4,0,0,0,0
2015-05-01,0,0,0,0,0
2015-05-02,0,0,0,2,0
2015-05-03,0,0,0,2,0
2015-05-04,10,5,0,5,5
2015-05-05,2,0,0,2,0
2015-05-06,0,0,10,0,0
2015-05-07,0,0,0,0,0
2015-05-08,0,0,0,0,0
2015-05-09,24,22,80,72,40
2015-05-10,2,0,0,0,0
2015-05-11,46,50,30,44,45
2015-05-12,30,20,30,52,8
2015-05-13,2,0,0,0,0
2015-05-14,0,0,0,2,0
2015-05-15,0,0,0,0,0
2015-05-16,0,0,0,0,2
2015-05-17,0,0,0,2,0
2015-05-18,140,0,140,67,81
2015-05-19,0,0,17,0,23
2015-05-20,0,0,0,0,2
2015-05-21,0,0,0,0,2
2015-05-22,2,0,10,2,2
2015-05-23,1,0,10,0,0
2015-05-24,0,0,0,2,0
2015-05-25,56,57,40,49,48
2015-05-26,26,54,10,28,28
2015-05-27,0,9,0,0,5
2015-05-28,44,75,0,30,18
2015-05-29,0,2,0,2,2
2015-05-30,28,20,120,17,10
2015-05-31,6,16,10,9,5
2015-06-01,12,10,0,10,8
2015-06-02,8,7,12,5,5
2015-06-03,0,2,0,0,0
2015-06-04,0,0,0,0,0
2015-06-05,62,75,30,38,83
2015-06-06,2,0,0,0,0
2015-06-07,0,0,0,0,0
2015-06-08,52,65,100,57,42
2015-06-09,56,19,10,29,129
2015-06-10,12,15,270,14,10
2015-06-11,2,0,2,0,0
2015-06-12,28,28,20,30,25
2015-06-13,2,2,0,0,2
2015-06-14,0,0,0,0,0
2015-06-15,2,0,0,0,5
2015-06-16,232,74,62,118,126
2015-06-17,2,0,0,0,0
2015-06-18,26,47,20,27,10
2015-06-19,0,0,0,0,0
2015-06-20,0,0,0,0,0
2015-06-21,12,156,0,113,8
2015-06-22,6,0,0,66,0
2015-06-23,40,19,51,7,2
2015-06-24,6,0,0,29,2
2015-06-25,2,2,0,2,0
2015-06-26,0,0,40,0,0
2015-06-27,0,0,0,0,0
2015-06-28,32,26,60,27,32
2015-06-29,6,3,0,0,8
2015-06-30,10,15,20,12,12
2015-07-01,74,33,60,31,93
2015-07-02,0,0,0,0,0
2015-07-03,0,0,0,0,0
2015-07-04,0,0,0,0,0
2015-07-05,0,0,0,0,0
2015-07-06,0,0,0,0,0
2015-07-07,44,56,20,2,18
2015-07-08,20,6,20,10,78
2015-07-09,0,0,0,0,0
2015-07-10,0,0,0,0,0
2015-07-11,0,0,0,0,0
2015-07-12,0,0,0,0,0
2015-07-13,6,0,0,0,0
2015-07-14,0,4,30,0,10
2015-07-15,0,0,0,0,0
2015-07-16,4,0,0,2,0
2015-07-17,6,4,0,7,5
2015-07-18,7,42,30,40,18
2015-07-19,16,295,90,212,45
2015-07-20,5,0,0,0,0
2015-07-21,29,49,50,138,42
2015-07-22,0,2,0,2,0
2015-07-23,2,0,20,3,0
2015-07-24,2,14,20,6,0
2015-07-25,0,0,10,0,0
2015-07-26,14,15,70,31,20
2015-07-27,171,248,40,8,231
2015-07-28,0,0,0,2,2
2015-07-29,0,0,0,0,0
2015-07-30,32,18,30,32,38
2015-07-31,0,0,60,0,0
2015-08-01,23,17,0,47,8
2015-08-02,0,0,0,2,2
2015-08-03,0,10,20,2,0
2015-08-04,52,0,0,30,58
2015-08-05,6,4,182,2,5
2015-08-06,0,0,0,0,0
2015-08-07,0,0,0,0,2
2015-08-08,0,0,0,3,0
2015-08-09,0,0,0,2,0
2015-08-10,13,0,0,126,15
2015-08-11,117,56,110,120,83
2015-08-12,10,2,137,16,28
2015-08-13,0,0,0,0,0
2015-08-14,8,19,0,12,8
2015-08-15,19,0,0,3,0
2015-08-16,0,0,0,0,0
2015-08-17,0,0,0,0,0
2015-08-18,197,0,0,44,0
2015-08-19,0,2,0,2,2
2015-08-20,0,0,0,0,0
2015-08-21,48,58,40,46,33
2015-08-22,0,0,0,0,0
2015-08-23,0,0,0,0,0
2015-08-24,0,0,0,0,22
2015-08-25,0,3,0,6,2
2015-08-26,0,0,0,0,0
2015-08-27,2,0,0,0,84
2015-08-28,0,0,0,0,0
2015-08-29,0,0,0,3,0
2015-08-30,0,0,0,0,0
2015-08-31,0,0,0,0,0
2015-09-01,0,0,0,0,0
2015-09-02,0,0,0,0,0
2015-09-03,0,0,0,2,0
2015-09-04,0,0,0,0,0
2015-09-05,0,0,0,3,0
2015-09-06,0,0,0,0,0
2015-09-07,153,142,177,155,147
2015-09-08,0,0,10,0,0
2015-09-09,3,0,0,0,10
2015-09-10,0,0,0,5,0
2015-09-11,0,0,0,3,0
2015-09-12,22,21,20,17,22
2015-09-13,71,69,80,147,60
2015-09-14,61,10,190,36,78
2015-09-15,0,0,0,0,0
2015-09-16,0,0,0,0,0
2015-09-17,0,0,0,0,0
2015-09-18,0,0,0,3,0
2015-09-19,55,37,120,78,25
2015-09-20,0,0,0,2,0
2015-09-21,0,0,0,0,0
2015-09-22,0,0,0,0,0
2015-09-23,0,0,0,0,0
2015-09-24,0,0,0,0,0
2015-09-25,0,0,0,0,0
2015-09-26,0,0,0,0,0
2015-09-27,0,0,0,0,0
2015-09-28,4,0,40,3,6
2015-09-29,196,116,308,140,180
2015-09-30,20,13,6,17,22
2015-10-01,0,0,0,0,0
2015-10-02,0,0,0,0,0
2015-10-03,0,0,0,0,0
2015-10-04,0,0,0,0,0
2015-10-05,0,0,0,2,0
2015-10-06,0,0,0,0,0
2015-10-07,0,0,0,0,0
2015-10-08,2,0,0,4,0
2015-10-09,22,22,20,25,20
2015-10-10,0,0,0,3,0
2015-10-11,0,0,0,0,0
2015-10-12,0,0,0,0,0
2015-10-13,26,5,20,13,10
2015-10-14,2,0,0,0,0
2015-10-15,49,72,30,57,42
2015-10-16,7,34,0,20,2
2015-10-17,40,46,30,38,28
2015-10-18,0,5,0,2,0
2015-10-19,0,7,0,2,0
2015-10-20,0,0,0,0,0
2015-10-21,0,0,0,0,0
2015-10-22,15,22,20,19,15
2015-10-23,0,0,0,0,0
2015-10-24,13,4,0,0,8
2015-10-25,66,87,46,67,68
2015-10-26,2,0,10,0,0
2015-10-27,0,0,0,4,0
2015-10-28,73,72,80,78,68
2015-10-29,44,21,40,35,28
2015-10-30,3,2,0,0,0
2015-10-31,0,2,0,6,0
2016-05-01,18,29,30,29,10
2016-05-02,9,3,10,8,10
2016-05-03,0,0,10,0,0
2016-05-04,0,0,0,0,0
2016-05-05,0,0,0,0,0
2016-05-06,0,0,0,0,0
2016-05-07,0,0,0,5,0
2016-05-08,49,37,60,36,53
2016-05-09,0,0,0,0,0
2016-05-10,0,0,0,0,0
2016-05-11,0,0,0,0,0
2016-05-12,0,0,0,0,0
2016-05-13,27,19,30,26,28
2016-05-14,10,19,30,39,10
2016-05-15,5,3,0,2,5
2016-05-16,2,0,0,2,2
2016-05-17,0,0,0,0,0
2016-05-18,0,0,0,0,0
2016-05-19,0,0,101,0,8
2016-05-20,0,0,1,0,0
2016-05-21,0,0,0,0,0
2016-05-22,0,0,0,0,0
2016-05-23,0,0,0,0,0
2016-05-24,1,0,0,0,0
2016-05-25,0,0,0,0,0
2016-05-26,0,0,0,0,0
2016-05-27,6,56,0,8,0
2016-05-28,0,0,0,0,0
2016-05-29,4,0,0,0,12
2016-05-30,14,0,0,0,56
2016-05-31,0,0,0,0,0
2016-06-01,0,0,0,0,0
2016-06-02,23,21,50,14,12
2016-06-03,0,0,0,0,0
2016-06-04,0,0,0,0,0
2016-06-05,123,77,98,84,121
2016-06-06,50,45,20,24,71
2016-06-07,0,0,0,2,2
2016-06-08,3,2,0,4,0
2016-06-09,3,2,10,0,0
2016-06-10,0,0,0,0,0
2016-06-11,0,0,0,0,0
2016-06-12,0,0,18,0,0
2016-06-13,0,0,0,23,0
2016-06-14,0,6,0,0,0
2016-06-15,0,0,0,0,0
2016-06-16,0,0,0,0,0
2016-06-17,0,0,0,0,0
2016-06-18,0,0,0,2,0
2016-06-19,0,0,0,0,0
2016-06-20,0,0,61,0,0
2016-06-21,0,0,0,0,0
2016-06-22,27,39,0,44,2
2016-06-23,0,0,0,0,0
2016-06-24,0,0,0,0,15
2016-06-25,0,0,0,0,0
2016-06-26,0,0,0,0,0
2016-06-27,21,27,10,13,5
2016-06-28,106,44,40,20,20
2016-06-29,15,5,70,5,25
2016-06-30,0,0,0,0,0
2016-07-01,9,11,0,26,12
2016-07-02,0,0,10,0,0
2016-07-03,2,0,20,9,0
2016-07-04,0,0,10,0,0
2016-07-05,0,0,0,0,0
2016-07-06,0,0,0,0,0
2016-07-07,0,0,0,0,0
2016-07-08,0,0,0,0,0
2016-07-09,98,35,88,49,63
2016-07-10,5,4,20,8,2
2016-07-11,0,0,0,0,0
2016-07-12,0,0,0,0,0
2016-07-13,0,0,0,0,0
2016-07-14,45,54,74,56,173
2016-07-15,5,22,0,8,0
2016-07-16,98,0,20,7,60
2016-07-17,0,0,0,0,0
2016-07-18,143,37,110,128,203
2016-07-19,0,0,0,2,0
2016-07-20,0,0,0,0,0
2016-07-21,0,0,0,0,0
2016-07-22,25,48,0,15,71
2016-07-23,128,142,33,104,104
2016-07-24,0,0,0,0,0
2016-07-25,26,7,40,20,23
2016-07-26,0,0,0,0,18
2016-07-27,0,0,0,0,0
2016-07-28,0,0,0,0,0
2016-07-29,0,0,0,0,0
2016-07-30,0,0,0,2,0
2016-07-31,0,0,0,0,0
2016-08-01,0,0,0,0,0
2016-08-02,0,0,2,0,0
2016-08-03,0,0,0,0,0
2016-08-04,19,0,20,0,0
2016-08-05,0,0,0,0,0
2016-08-06,0,0,0,0,0
2016-08-07,0,0,0,0,36
2016-08-08,0,0,0,0,0
2016-08-09,0,0,0,0,0
2016-08-10,0,0,0,0,0
2016-08-11,0,0,0,0,0
2016-08-12,10,72,31,11,10
2016-08-13,89,59,326,95,175
2016-08-14,38,101,143,54,78
2016-08-15,0,0,0,0,0
2016-08-16,220,176,211,183,166
2016-08-17,7,5,20,10,22
2016-08-18,0,0,10,0,0
2016-08-19,0,0,0,0,0
2016-08-20,0,0,0,0,0
2016-08-21,65,62,70,57,38
2016-08-22,0,0,0,0,0
2016-08-23,0,0,0,0,0
2016-08-24,0,0,0,0,0
2016-08-25,6,4,0,4,12
2016-08-26,0,0,0,0,0
2016-08-27,0,0,0,0,0
2016-08-28,0,0,0,0,0
2016-08-29,0,0,0,0,0
2016-08-30,0,0,0,0,2
2016-08-31,0,109,20,74,0
2016-09-01,0,0,0,0,0
2016-09-02,0,2,0,0,0
2016-09-03,0,0,0,0,0
2016-09-04,0,0,0,0,0
2016-09-05,0,0,0,0,0
2016-09-06,0,0,1,0,0
2016-09-07,0,0,0,2,0
2016-09-08,38,44,70,70,20
2016-09-09,0,0,0,0,0
2016-09-10,0,3,0,0,0
2016-09-11,50,23,30,28,43
2016-09-12,0,0,0,0,0
2016-09-13,0,0,0,0,0
2016-09-14,0,6,0,0,2
2016-09-15,0,0,0,3,0
2016-09-16,0,0,0,0,0
2016-09-17,0,9,20,4,0
2016-09-18,13,9,28,7,8
2016-09-19,0,0,2,2,0
2016-09-20,0,0,0,0,0
2016-09-21,0,0,0,0,2
2016-09-22,8,3,0,3,12
2016-09-23,10,14,10,9,12
2016-09-24,0,0,0,0,0
2016-09-25,0,0,0,0,0
2016-09-26,0,0,0,0,0
2016-09-27,13,5,20,14,5
2016-09-28,0,0,0,0,0
2016-09-29,0,0,2,0,0
2016-09-30,0,0,0,0,0
2016-10-01,0,0,0,0,0
2016-10-02,6,0,20,3,0
2016-10-03,0,0,0,0,2
2016-10-04,0,0,0,0,0
2016-10-05,0,0,0,0,0
2016-10-06,0,0,0,0,0
2016-10-07,0,0,0,0,0
2016-10-08,65,42,70,66,32
2016-10-09,0,0,0,0,0
2016-10-10,0,0,0,0,0
2016-10-11,0,0,0,0,0
2016-10-12,3,0,0,3,0
2016-10-13,26,30,36,35,32
2016-10-14,0,0,0,2,0
2016-10-15,0,0,0,0,0
2016-10-16,44,41,50,48,45
2016-10-17,3,0,10,0,0
2016-10-18,15,33,20,17,30
2016-10-19,0,0,0,0,0
2016-10-20,59,37,30,49,45
2016-10-21,63,49,60,49,75
2016-10-22,40,30,40,37,40
2016-10-23,33,17,50,17,25
2016-10-24,0,0,2,0,0
2016-10-25,1,0,0,0,0
2016-10-26,0,0,0,0,0
2016-10-27,31,25,20,32,32
2016-10-28,21,24,20,21,25
2016-10-29,34,10,30,17,25
2016-10-30,0,0,0,0,0
2016-10-31,0,0,0,0,0
2017-05-01,68,107,110,73,86
2017-05-02,0,0,20,0,0
2017-05-03,0,0,0,0,0
2017-05-04,0,0,0,0,0
2017-05-05,33,39,29,34,25
2017-05-06,34,26,40,47,12
2017-05-07,19,23,60,17,20
2017-05-08,2,2,0,2,0
2017-05-09,2,2,0,0,0
2017-05-10,0,0,0,0,0
2017-05-11,0,0,0,0,0
2017-05-12,0,0,0,0,0
2017-05-13,0,14,0,7,15
2017-05-14,5,12,20,7,8
2017-05-15,2,5,0,5,5
2017-05-16,0,0,0,0,0
2017-05-17,0,0,0,0,0
2017-05-18,3,3,10,2,0
2017-05-19,2,0,0,2,2
2017-05-20,0,2,0,0,0
2017-05-21,0,5,0,0,2
2017-05-22,16,17,20,14,12
2017-05-23,0,0,10,0,0
2017-05-24,2,0,0,0,2
2017-05-25,49,40,80,41,42
2017-05-26,7,8,30,6,5
2017-05-27,0,0,0,0,0
2017-05-28,0,0,0,0,0
2017-05-29,27,18,30,26,25
2017-05-30,22,58,40,47,18
2017-05-31,23,11,106,13,50
2017-06-01,2,0,0,0,0
2017-06-02,7,6,0,17,8
2017-06-03,0,7,0,0,2
2017-06-04,0,0,0,0,0
2017-06-05,91,56,60,60,40
2017-06-06,53,36,40,39,20
2017-06-07,0,0,0,0,0
2017-06-08,0,0,0,2,0
2017-06-09,0,0,0,2,0
2017-06-10,0,0,0,2,0
2017-06-11,0,0,10,0,0
2017-06-12,0,0,0,20,53
2017-06-13,0,0,0,0,0
2017-06-14,0,0,0,0,0
2017-06-15,0,0,0,0,0
2017-06-16,87,41,70,55,62
2017-06-17,0,0,0,0,0
2017-06-18,0,0,58,0,5
2017-06-19,2,6,0,5,8
2017-06-20,84,76,30,86,98
2017-06-21,0,0,20,0,0
2017-06-22,0,0,0,0,0
2017-06-23,31,28,20,24,25
2017-06-24,0,0,24,0,0
2017-06-25,0,0,70,0,10
2017-06-26,43,8,0,15,38
2017-06-27,23,0,20,7,111
2017-06-28,2,35,10,0,0
2017-06-29,9,19,11,10,8
2017-06-30,45,25,26,52,50
2017-07-01,9,21,15,24,15
2017-07-02,0,9,5,0,0
2017-07-03,0,0,4,0,0
2017-07-04,0,0,2,0,0
2017-07-05,0,0,0,0,0
2017-07-06,0,0,0,0,0
2017-07-07,41,42,240,92,30
2017-07-08,220,170,130,158,134
2017-07-09,0,0,0,2,0
2017-07-10,20,8,0,13,12
2017-07-11,0,0,10,0,0
2017-07-12,0,0,0,3,8
2017-07-13,3,6,20,3,2
2017-07-14,27,50,0,43,30
2017-07-15,3,23,20,9,2
2017-07-16,0,12,0,4,0
2017-07-17,11,6,0,17,13
2017-07-18,0,0,0,0,0
2017-07-19,13,0,0,75,46
2017-07-20,0,232,0,80,2
2017-07-21,49,0,0,0,8
2017-07-22,0,0,0,0,0
2017-07-23,0,0,3,0,0
